"evaluations","algo: UCEA - _step","algo: UCEA - _step__MIN","algo: UCEA - _step__MAX","algo: UCEA - generation","algo: UCEA - generation__MIN","algo: UCEA - generation__MAX","algo: MultiEA - _step","algo: MultiEA - _step__MIN","algo: MultiEA - _step__MAX","algo: MultiEA - generation","algo: MultiEA - generation__MIN","algo: MultiEA - generation__MAX","algo: EA - _step","algo: EA - _step__MIN","algo: EA - _step__MAX","algo: EA - generation","algo: EA - generation__MIN","algo: EA - generation__MAX"
"60","0","0","0","1","1","1","","","","","","","0","0","0","1","1","1"
"62","0","0","0","1","1","1","","","","","","","","","","","",""
"120","","","","","","","","","","","","","1","1","1","2","2","2"
"180","","","","","","","","","","","","","2","2","2","3","3","3"
"240","","","","","","","","","","","","","3","3","3","4","4","4"
"300","","","","","","","","","","","","","4","4","4","5","5","5"
"360","","","","","","","","","","","","","5","5","5","6","6","6"
"420","","","","","","","","","","","","","6","6","6","7","7","7"
"480","","","","","","","","","","","","","7","7","7","8","8","8"
"540","","","","","","","","","","","","","8","8","8","9","9","9"
"600","","","","","","","0","0","0","1","1","1","9","9","9","10","10","10"
"658","1","1","1","2","2","2","","","","","","","","","","","",""
"660","1","1","1","2","2","2","","","","","","","10","10","10","11","11","11"
"720","","","","","","","","","","","","","11","11","11","12","12","12"
"780","","","","","","","","","","","","","12","12","12","13","13","13"
"840","","","","","","","","","","","","","13","13","13","14","14","14"
"900","","","","","","","","","","","","","14","14","14","15","15","15"
"960","","","","","","","","","","","","","15","15","15","16","16","16"
"1020","","","","","","","","","","","","","16","16","16","17","17","17"
"1080","","","","","","","1","1","1","2","2","2","17","17","17","18","18","18"
"1114","2","2","2","3","3","3","","","","","","","","","","","",""
"1140","","","","","","","","","","","","","18","18","18","19","19","19"
"1158","2","2","2","3","3","3","","","","","","","","","","","",""
"1166","2","2","2","3","3","3","","","","","","","","","","","",""
"1178","2","2","2","3","3","3","","","","","","","","","","","",""
"1200","","","","","","","","","","","","","19","19","19","20","20","20"
"1254","2","2","2","3","3","3","","","","","","","","","","","",""
"1260","","","","","","","","","","","","","20","20","20","21","21","21"
"1320","","","","","","","","","","","","","21","21","21","22","22","22"
"1380","","","","","","","","","","","","","22","22","22","23","23","23"
"1440","","","","","","","","","","","","","23","23","23","24","24","24"
"1500","","","","","","","","","","","","","24","24","24","25","25","25"
"1560","","","","","","","2","2","2","3","3","3","25","25","25","26","26","26"
"1598","3","3","3","4","4","4","","","","","","","","","","","",""
"1620","","","","","","","","","","","","","26","26","26","27","27","27"
"1644","3","3","3","4","4","4","","","","","","","","","","","",""
"1680","","","","","","","","","","","","","27","27","27","28","28","28"
"1694","3","3","3","4","4","4","","","","","","","","","","","",""
"1740","","","","","","","","","","","","","28","28","28","29","29","29"
"1758","3","3","3","4","4","4","","","","","","","","","","","",""
"1800","","","","","","","","","","","","","29","29","29","30","30","30"
"1860","","","","","","","","","","","","","30","30","30","31","31","31"
"1920","","","","","","","","","","","","","31","31","31","32","32","32"
"1980","","","","","","","","","","","","","32","32","32","33","33","33"
"2040","","","","","","","3","3","3","4","4","4","33","33","33","34","34","34"
"2076","4","4","4","5","5","5","","","","","","","","","","","",""
"2100","","","","","","","","","","","","","34","34","34","35","35","35"
"2108","4","4","4","5","5","5","","","","","","","","","","","",""
"2160","","","","","","","","","","","","","35","35","35","36","36","36"
"2220","","","","","","","","","","","","","36","36","36","37","37","37"
"2236","4","4","4","5","5","5","","","","","","","","","","","",""
"2252","4","4","4","5","5","5","","","","","","","","","","","",""
"2280","","","","","","","","","","","","","37","37","37","38","38","38"
"2340","","","","","","","","","","","","","38","38","38","39","39","39"
"2400","","","","","","","","","","","","","39","39","39","40","40","40"
"2460","","","","","","","","","","","","","40","40","40","41","41","41"
"2482","5","5","5","6","6","6","","","","","","","","","","","",""
"2520","","","","","","","4","4","4","5","5","5","41","41","41","42","42","42"
"2538","5","5","5","6","6","6","","","","","","","","","","","",""
"2572","5","5","5","6","6","6","","","","","","","","","","","",""
"2580","","","","","","","","","","","","","42","42","42","43","43","43"
"2640","","","","","","","","","","","","","43","43","43","44","44","44"
"2656","5","5","5","6","6","6","","","","","","","","","","","",""
"2694","5","5","5","6","6","6","","","","","","","","","","","",""
"2700","","","","","","","","","","","","","44","44","44","45","45","45"
"2760","","","","","","","","","","","","","45","45","45","46","46","46"
"2820","","","","","","","","","","","","","46","46","46","47","47","47"
"2880","","","","","","","","","","","","","47","47","47","48","48","48"
"2940","","","","","","","","","","","","","48","48","48","49","49","49"
"2954","6","6","6","7","7","7","","","","","","","","","","","",""
"3000","","","","","","","5","5","5","6","6","6","49","49","49","50","50","50"
"3014","6","6","6","7","7","7","","","","","","","","","","","",""
"3042","6","6","6","7","7","7","","","","","","","","","","","",""
"3060","","","","","","","","","","","","","50","50","50","51","51","51"
"3120","","","","","","","","","","","","","51","51","51","52","52","52"
"3150","6","6","6","7","7","7","","","","","","","","","","","",""
"3174","6","6","6","7","7","7","","","","","","","","","","","",""
"3180","","","","","","","","","","","","","52","52","52","53","53","53"
"3240","","","","","","","","","","","","","53","53","53","54","54","54"
"3300","","","","","","","","","","","","","54","54","54","55","55","55"
"3312","7","7","7","8","8","8","","","","","","","","","","","",""
"3360","","","","","","","","","","","","","55","55","55","56","56","56"
"3420","","","","","","","","","","","","","56","56","56","57","57","57"
"3446","7","7","7","8","8","8","","","","","","","","","","","",""
"3476","7","7","7","8","8","8","","","","","","","","","","","",""
"3480","","","","","","","6","6","6","7","7","7","57","57","57","58","58","58"
"3540","","","","","","","","","","","","","58","58","58","59","59","59"
"3568","7","7","7","8","8","8","","","","","","","","","","","",""
"3600","","","","","","","","","","","","","59","59","59","60","60","60"
"3604","7","7","7","8","8","8","","","","","","","","","","","",""
"3660","","","","","","","","","","","","","60","60","60","61","61","61"
"3680","8","8","8","9","9","9","","","","","","","","","","","",""
"3720","","","","","","","","","","","","","61","61","61","62","62","62"
"3780","","","","","","","","","","","","","62","62","62","63","63","63"
"3840","","","","","","","","","","","","","63","63","63","64","64","64"
"3882","8","8","8","9","9","9","","","","","","","","","","","",""
"3900","","","","","","","","","","","","","64","64","64","65","65","65"
"3922","8","8","8","9","9","9","","","","","","","","","","","",""
"3960","","","","","","","7","7","7","8","8","8","65","65","65","66","66","66"
"3978","8","8","8","9","9","9","","","","","","","","","","","",""
"4020","","","","","","","","","","","","","66","66","66","67","67","67"
"4080","","","","","","","","","","","","","67","67","67","68","68","68"
"4084","8","8","8","9","9","9","","","","","","","","","","","",""
"4094","9","9","9","10","10","10","","","","","","","","","","","",""
"4140","","","","","","","","","","","","","68","68","68","69","69","69"
"4200","","","","","","","","","","","","","69","69","69","70","70","70"
"4260","","","","","","","","","","","","","70","70","70","71","71","71"
"4286","9","9","9","10","10","10","","","","","","","","","","","",""
"4320","","","","","","","","","","","","","71","71","71","72","72","72"
"4324","9","9","9","10","10","10","","","","","","","","","","","",""
"4380","","","","","","","","","","","","","72","72","72","73","73","73"
"4424","9","9","9","10","10","10","","","","","","","","","","","",""
"4440","","","","","","","8","8","8","9","9","9","73","73","73","74","74","74"
"4466","10","10","10","11","11","11","","","","","","","","","","","",""
"4500","","","","","","","","","","","","","74","74","74","75","75","75"
"4532","9","9","9","10","10","10","","","","","","","","","","","",""
"4560","","","","","","","","","","","","","75","75","75","76","76","76"
"4620","","","","","","","","","","","","","76","76","76","77","77","77"
"4680","","","","","","","","","","","","","77","77","77","78","78","78"
"4700","10","10","10","11","11","11","","","","","","","","","","","",""
"4740","","","","","","","","","","","","","78","78","78","79","79","79"
"4786","10","10","10","11","11","11","","","","","","","","","","","",""
"4800","","","","","","","","","","","","","79","79","79","80","80","80"
"4860","","","","","","","","","","","","","80","80","80","81","81","81"
"4878","10","10","10","11","11","11","","","","","","","","","","","",""
"4912","11","11","11","12","12","12","","","","","","","","","","","",""
"4920","","","","","","","9","9","9","10","10","10","81","81","81","82","82","82"
"4980","","","","","","","","","","","","","82","82","82","83","83","83"
"5040","","","","","","","","","","","","","83","83","83","84","84","84"
"5072","10","10","10","11","11","11","","","","","","","","","","","",""
"5100","","","","","","","","","","","","","84","84","84","85","85","85"
"5118","11","11","11","12","12","12","","","","","","","","","","","",""
"5126","11","11","11","12","12","12","","","","","","","","","","","",""
"5160","","","","","","","","","","","","","85","85","85","86","86","86"
"5220","","","","","","","","","","","","","86","86","86","87","87","87"
